 Input variables to calcualte HB bond
 No. of trajectory	No. of Molecules	No. of Atoms of Each Molecule	No. of Correlation
          50         256           6          20

 	Boxlength along x		y		z in Angs
   19.5622997       19.6630993       35.7969017    

 The functions C_{HB}(t) and S_{HB}(t) at every correlation time

 correlation time (x 10 fs)	C_{HB}(t)	S_{HB}(t)

           1   1.00000000       1.00000000    
           2  0.574999988       9.72222257E-03
           3  0.559840441       6.64893631E-03
           4  0.398550719       4.34782589E-03
           5  0.542222202       1.48148148E-03
           6  0.724431813       0.00000000    
           7  0.341085285       0.00000000    
           8  0.414965987       0.00000000    
           9  0.257035643       0.00000000    
          10  0.337500006       0.00000000    
          11  0.232371792       0.00000000    
          12  0.203007519       0.00000000    
          13  0.286486477       0.00000000    
          14  0.174074069       0.00000000    
          15  0.351428568       0.00000000    
          16  0.277310938       0.00000000    
          17  0.178030297       0.00000000    
          18  0.262867659       0.00000000    
          19  0.232258067       0.00000000    
          20  0.177777782       0.00000000    

 Time required to run this program  0.436116993     	(sec)
