 Molecules IDs (A, B) at every time frame where the distance H_{A}O_{B} is less than 2.45 Angs 

 no. of trajectory at every 10 fs	molecule ID A	molecule ID B	distance O_{B}O_{A} (A)	distance H_{A}O_{B} (A)

           1           2         243   1.36831844       1.58637941    
           1           3          66  0.935307384       1.71411777    
           1           6         247   1.71472991       1.65130234    
           1           7          70   1.43760204       1.69997036    
           1          10         251   1.24707532       1.67340255    
           1          11          74   1.10851252       1.67388773    
           1          14         255   1.26439631       1.62542331    
           1          15          78   1.54152513       1.54197907    
           1          18         195  0.640856922       1.69271946    
           1          19          82  0.969948351       1.68597162    
           1          22         199   1.76669264       1.67110777    
           1          23          86   1.12583303       1.65112066    
           1          26         203   1.09119058       1.63379860    
           1          27          90  0.744781971       1.54673803    
           1          30         207   1.35099745       1.60739040    
           1          31          94  0.987269044       1.59890664    
           1          34         211   1.42028439       1.66303921    
           1          35          98   1.26439714       1.69502282    
           1          38         215   1.26439631       1.62302053    
           1          39         102   1.42028177       1.55428445    
           1          42         219  0.814065993       1.58688426    
           1          43         106   1.21243572       1.62394655    
           1          46         223   1.22975457       1.56885278    
           1          47         110   1.33367908       1.59752846    
           1          50         227   1.66276717       1.65617001    
           1          51         114  0.831384420       1.60181296    
           1          54         231   1.07386959       1.60863340    
           1          55         118   1.73205101       1.72476113    
           1          58         235  0.831383586       1.60617483    
           1          59         122  0.866025209       1.72283876    
           1          62         239  0.502293050       1.76663589    
           1          63         126   1.19511521       1.86232293    
           1          65          68   1.14315331       1.67215359    
           1          67         130  0.917986453       1.66712332    
           1          68          81   1.90525568       1.65993977    
           1          69          72  0.848704457       1.57101870    
           1          71         134  0.450333595       1.69708610    
           1          72          85   2.13042259       1.60676670    
           1          73          76   1.17779434       1.61966050    
           1          75         138   1.07387125       1.69236481    
           1          76          89  0.917987227       1.68124962    
           1          77          80   1.36831999       1.57015896    
           1          79         142   1.88793564       1.58836389    
           1          80          93   1.17779434       1.52741694    
           1          81          84   1.61080778       1.80571342    
           1          83         146  0.917986453       1.58012652    
           1          84          97   1.12583315       1.67364752    
           1          85          88   2.11310244       1.69212890    
           1          87         150   1.57616603       1.70067632    
           1          88         101   1.03923118       1.60605228    
           1          89          92  0.831384420       1.61765218    
           1          91         154  0.692820489       1.68534899    
           1          92         105  0.935307384       1.64334953    
           1          93          96  0.571576655       1.65293634    
           1          95         158   1.55884504       1.72386229    
           1          96         109  0.710141420       1.61338139    
           1          97         100   1.17779434       1.75775385    
           1          99         162   1.36831999       1.58259284    
           1         100         113   1.29903805       1.60168803    
           1         101         104  0.969948351       1.60573924    
           1         103         166   1.35100007       1.63795519    
           1         104         117   1.03923035       1.71000051    
           1         105         108   1.00458932       1.63893282    
           1         107         170   1.85329461       1.60689092    
           1         108         121   1.48956311       1.66318834    
           1         109         112   1.28171802       1.59627795    
           1         111         174   1.07387209       1.61774480    
           1         112         125   1.22975612       1.74957085    
           1         113         116   1.61080778       1.49432051    
           1         115         178  0.848705351       1.60615051    
           1         117         120   1.68008971       1.71306276    
           1         119         182  0.987269282       1.74189353    
           1         121         124   1.52420413       1.56112218    
           1         123         186   1.50688481       1.66655278    
           1         125         128  0.987269282       1.56990469    
           1         127         190  0.883345425       1.70893466    
