 Molecules IDs (A, B) at every time frame where the angle H_{A}O_{A}O_{B} is less than 30 degree

 no. of trajectory at every 10 fs	molecule ID A	molecule ID B	distance O_{B}O_{A} (A)	distance H_{A}O_{B} (A)	Theta of H_{A}O_{A}O_{B} (degree)

           1          81          84   1.61080778       1.02970803       29.6458645    
           1          97         100   1.17779434       1.02362144       28.3688431    
           1         145         148   1.09119225       1.05820537       29.1939011    
           1         209         212  0.814062715       1.04852378       22.3200607    
           1         213         216   1.92257583       1.02567041       28.5802059    
           1         217         220  0.900667191       1.04446173       29.7868080    
           1         249         252   1.28171718       1.07205474       27.2993488    
           2          13          16   1.55884552       1.06334424       26.3756313    
           2          21          24   1.48956394      0.994032443       22.5547581    
           2          33          36  0.987268806       1.07860970       28.6134319    
           2          61          64  0.917987227       1.04364860       29.0627441    
           2          69          72   1.74937165       1.03097069       25.6268024    
           2          77          80   1.64544785       1.00767136       26.6412411    
           2         113         116   1.14315331       1.04043067       29.3970108    
           2         129         132  0.744782388       1.05820739       29.1937885    
           2         157         160   1.26439631       1.05247307       23.6345882    
           2         169         172   1.68008971       1.05304360       28.0258961    
           2         173         176   1.59348679       1.05877292       27.9434376    
           2         197         200   1.73205411       1.01680911       22.2502346    
           2         213         216   1.02191019       1.03004837       24.7639771    
           2         217         220   2.16506362       1.06372094       21.8527699    
           2         225         228   1.03923118       1.04091334       26.7447872    
           3           1           4   1.58797026       1.02221584       29.3780613    
           3          21          24   1.41637421       1.04894745       29.4745808    
           3          37          40   1.37777925       1.05060923       28.3570118    
           3          69          72   1.76164961       1.03048432       28.1738033    
           3          77          80   1.66682410       1.02867830       28.7900257    
           3         113         116   1.20889378       1.02409852       29.3143845    
           3         129         132  0.838185728       1.04201341       29.8539791    
           3         141         144  0.742849767       1.02320027       28.1143074    
           3         157         160   1.24883950       1.02980363       28.0712566    
           3         169         172   1.65632677       1.04290640       28.7227859    
           3         197         200   1.69011462       1.07935917       25.9254951    
           3         205         208   1.25554264       1.07024133       29.1772060    
           3         209         212   1.16023302       1.07977915       29.7962074    
           3         213         216  0.973561704       1.03006995       23.6596241    
           3         217         220   2.17423439       1.00488734       29.9144821    
           3         221         224   1.37294674       1.07982826       27.1418915    
           4           9          12   1.12772119       1.03838086       29.5699120    
           4          13          16   1.23324275       1.02578425       26.9899788    
           4          21          24   1.34396577       1.05808496       23.9905739    
           4          37          40   1.43320787       1.01572227       29.0791931    
           4          77          80   1.63961792       1.06566930       28.7145042    
           4          81          84   1.56805885       1.03101957       29.0635147    
           4         113         116   1.26088619       1.02805769       29.7469025    
           4         129         132  0.930198312       1.02190721       29.5600243    
           4         157         160   1.24807644       1.03918755       27.6589909    
           4         197         200   1.62886202       1.00874722       29.4255371    
           4         205         208   1.22988009       1.01220286       26.5990772    
           4         213         216  0.958754838       1.04266882       24.7193012    
           4         217         220   2.21247053       1.07652640       26.6812801    
           4         225         228  0.933204651       1.04572845       24.5412407    
           4         245         248  0.962154269       1.02692747       27.8624668    
           5          13          16   1.12668180       1.09136248       29.6437492    
           5          21          24   1.31872654       1.00831556       29.5916309    
           5          37          40   1.51007819       1.06847572       27.2581139    
           5          49          52  0.956346512       1.04992020       27.5056648    
           5          61          64  0.867296875       1.04568791       28.2779713    
           5          77          80   1.58194065       1.01897216       29.1635265    
           5         113         116   1.35685730       1.03477907       29.6778698    
           5         129         132   1.03066981       1.06114078       26.9487286    
           5         133         136   1.79327369       1.07259333       29.9258251    
           5         157         160   1.28521907       1.04873037       21.4682732    
           5         169         172   1.55351627       1.07011950       29.8204937    
           5         197         200   1.62443197       1.06390929       25.6672153    
           5         213         216  0.985834658       1.03143692       28.3612690    
           5         217         220   2.19962931       1.01877594       24.6100540    
           5         225         228  0.956964314       1.02606249       27.3278027    
           6          37          40   1.59476006       1.01568568       24.4764709    
           6          81          84   1.40005803       1.07127845       27.6186409    
           6         129         132   1.06864500       1.01858366       29.2475471    
           6         137         140   1.44010627       1.04574072       29.1240044    
           6         157         160   1.26760578       1.02474666       28.9916553    
           6         205         208   1.19674468       1.05787814       27.7867603    
           6         213         216  0.995434999       1.04359615       26.3895454    
           6         221         224   1.38252401       1.06038666       27.4313831    
           7           9          12   1.26525116       1.02912903       27.1545067    
           7          13          16  0.969243884       1.06455195       27.6761227    
           7          21          24   1.35723138       1.05864775       26.7538071    
           7          33          36   1.17521870       1.04434502       29.8898716    
           7          37          40   1.67353201       1.03536355       29.4444752    
           7          81          84   1.40025949      0.997598112       25.0965290    
           7         109         112  0.785992622       1.06779575       26.9269695    
           7         129         132   1.18497717       1.03832328       28.4469433    
           7         137         140   1.48348606       1.03369987       28.1152191    
           7         157         160   1.26378012       1.03396273       27.8931713    
           7         169         172   1.41897953       1.04011846       28.2515240    
           7         173         176   1.73570788       1.01572871       29.0947704    
           7         217         220   2.14119148       1.07414317       23.8825836    
           7         225         228  0.827267230       1.04221785       27.6199741    
           7         241         244   1.47167897       1.07154453       28.8193550    
           8          37          40   1.73286664       1.05891562       25.2799301    
           8          49          52  0.925933719       1.04229462       29.9568005    
           8          61          64  0.833319128       1.03810835       29.0602341    
           8          81          84   1.43468904       1.06039047       28.5130844    
