 The average number of hydrogen bonds at every timeframe

 no. of trajectory at every 10 fs	Avg. Hydrogen Bond

           1   2.73437500E-02
           2   5.85937500E-02
           3   6.25000000E-02
           4   5.85937500E-02
           5   5.85937500E-02
           6   3.12500000E-02
           7   5.85937500E-02
           8   5.46875000E-02
           9   5.07812500E-02
          10   5.46875000E-02
          11   6.25000000E-02
          12   5.46875000E-02
          13   5.85937500E-02
          14   5.85937500E-02
          15   3.90625000E-02
          16   5.46875000E-02
          17   6.25000000E-02
          18   6.64062500E-02
          19   5.85937500E-02
          20   8.20312500E-02
          21   6.25000000E-02
          22   5.07812500E-02
          23   8.59375000E-02
          24   6.25000000E-02
          25   5.46875000E-02
          26   7.42187500E-02
          27   4.68750000E-02
          28   5.85937500E-02
          29   6.25000000E-02
          30   7.03125000E-02
          31   5.85937500E-02
          32   5.46875000E-02
          33   3.51562500E-02
          34   6.25000000E-02
          35   5.07812500E-02
          36   4.68750000E-02
          37   3.90625000E-02
          38   3.90625000E-02
          39   5.07812500E-02
          40   5.46875000E-02
          41   4.68750000E-02
          42   4.29687500E-02
          43   5.85937500E-02
          44   5.46875000E-02
          45   5.46875000E-02
          46   5.46875000E-02
          47   4.68750000E-02
          48   5.46875000E-02
          49   5.85937500E-02
          50   5.85937500E-02
